DEWP,TEMP,PRES,cbwd_embed,Iws,Is,Ir,pm2.5
-19,-16.0,1031.0,2,3.58,0,0,195.0
-20,-16.0,1031.0,1,0.89,0,0,275.0
-19,-15.0,1030.0,3,0.89,0,0,164.0
-18,-15.0,1030.0,0,0.45,0,0,110.0
-18,-15.0,1029.0,0,1.34,0,0,100.0
-18,-15.0,1029.0,2,1.79,0,0,81.0
-16,-13.0,1029.0,1,0.89,0,0,71.0
-16,-12.0,1029.0,3,0.89,0,0,66.0
-16,-12.0,1030.0,3,1.78,0,0,92.0
-17,-10.0,1030.0,1,0.89,0,0,135.0
-16,-10.0,1029.0,0,0.89,0,0,155.0
-16,-9.0,1028.0,3,3.13,0,0,198.0
-15,-8.0,1026.0,3,4.92,0,0,250.0
-16,-8.0,1026.0,0,0.89,0,0,200.0
-16,-8.0,1025.0,0,1.78,0,0,231.0
-16,-8.0,1025.0,0,2.67,0,0,250.0
-17,-8.0,1025.0,3,0.89,0,0,212.0
-17,-9.0,1026.0,0,0.45,0,0,219.0
-17,-11.0,1026.0,0,1.34,0,0,227.0
-17,-12.0,1026.0,0,1.79,0,0,226.0
-18,-14.0,1027.0,2,1.79,0,0,225.0
-16,-9.0,1027.0,2,4.92,0,0,168.0
-16,-11.0,1027.0,2,6.71,0,0,169.0
-17,-13.0,1027.0,0,0.89,0,0,165.0
-17,-13.0,1027.0,2,3.13,0,0,159.0
-17,-14.0,1027.0,2,4.92,0,0,167.0
-17,-15.0,1027.0,2,8.05,0,0,196.0
-17,-13.0,1027.0,2,9.84,0,0,169.0
-19,-16.0,1027.0,2,13.86,0,0,155.0
-18,-15.0,1027.0,2,17.88,0,0,119.0
-19,-15.0,1027.0,2,21.9,0,0,106.0
-18,-14.0,1028.0,2,25.92,0,0,93.0
-18,-9.0,1029.0,1,5.81,0,0,84.0
-17,-7.0,1029.0,1,11.62,0,0,73.0
-17,-6.0,1030.0,1,17.43,0,0,66.0
-16,-6.0,1029.0,1,23.24,0,0,40.0
-16,-5.0,1029.0,1,28.16,0,0,49.0
-15,-4.0,1029.0,1,33.08,0,0,50.0
-14,-4.0,1028.0,1,37.1,0,0,49.0
-15,-4.0,1029.0,1,38.89,0,0,41.0
-15,-4.0,1030.0,2,1.79,0,0,37.0
-15,-7.0,1030.0,1,3.13,0,0,45.0
-15,-6.0,1031.0,2,3.13,0,0,44.0
-15,-7.0,1032.0,2,4.92,0,0,54.0
-15,-6.0,1032.0,1,3.13,0,0,50.0
-15,-8.0,1033.0,0,0.45,0,0,47.0
-15,-8.0,1033.0,0,0.9,0,0,66.0
-15,-11.0,1033.0,2,0.89,0,0,75.0
-17,-13.0,1033.0,2,1.78,0,0,82.0
-17,-12.0,1033.0,2,4.91,0,0,66.0
-17,-13.0,1033.0,2,8.04,0,0,83.0
-19,-14.0,1032.0,2,9.83,0,0,62.0
-18,-13.0,1032.0,2,12.96,0,0,40.0
-19,-13.0,1032.0,2,16.09,0,0,23.0
-19,-14.0,1033.0,2,19.22,0,0,25.0
-19,-14.0,1034.0,2,22.35,0,0,27.0
-17,-12.0,1033.0,2,24.14,0,0,35.0
-16,-7.0,1033.0,1,4.02,0,0,50.0
-15,-7.0,1033.0,2,3.13,0,0,70.0
-15,-7.0,1032.0,2,6.26,0,0,75.0
-14,-6.0,1031.0,2,9.39,0,0,58.0
-14,-6.0,1031.0,2,12.52,0,0,70.0
-13,-5.0,1030.0,2,14.31,0,0,68.0
-14,-5.0,1031.0,2,16.1,0,0,71.0
-14,-6.0,1031.0,2,19.23,0,0,88.0
-13,-7.0,1032.0,2,23.25,0,0,84.0
-15,-6.0,1032.0,2,27.27,0,0,83.0
-15,-6.0,1033.0,2,30.4,0,0,66.0
-15,-4.0,1034.0,2,35.32,0,0,27.0
-16,-4.0,1034.0,2,44.26,0,0,24.0
-17,-5.0,1035.0,2,52.31,0,0,22.0
-17,-6.0,1035.0,2,60.36,0,0,23.0
-17,-8.0,1035.0,0,0.89,0,0,27.0
-19,-11.0,1036.0,2,4.02,0,0,23.0
-20,-11.0,1036.0,2,8.94,0,0,17.0
-21,-11.0,1035.0,1,4.02,0,0,17.0
-22,-12.0,1035.0,2,3.13,0,0,16.0
-22,-12.0,1035.0,1,4.92,0,0,16.0
-22,-13.0,1036.0,2,5.81,0,0,20.0
-22,-9.0,1036.0,2,13.86,0,0,20.0
-22,-10.0,1036.0,2,21.91,0,0,18.0
-22,-9.0,1036.0,2,29.06,0,0,25.0
-21,-9.0,1036.0,2,33.08,0,0,26.0
-20,-6.0,1035.0,2,42.02,0,0,27.0
-19,-5.0,1034.0,2,50.96,0,0,28.0
-19,-5.0,1033.0,2,59.01,0,0,15.0
-20,-5.0,1033.0,2,66.16,0,0,24.0
-20,-5.0,1032.0,2,71.97,0,0,13.0
-20,-5.0,1033.0,2,76.89,0,0,13.0
-20,-7.0,1033.0,2,81.81,0,0,13.0
-22,-7.0,1033.0,2,85.83,0,0,17.0
-22,-8.0,1033.0,2,89.85,0,0,20.0
-23,-10.0,1033.0,2,91.64,0,0,27.0
-23,-13.0,1033.0,2,93.43,0,0,20.0
-22,-12.0,1032.0,0,0.89,0,0,15.0
-22,-15.0,1031.0,0,1.78,0,0,21.0
-22,-14.0,1031.0,1,1.79,0,0,21.0
-22,-14.0,1031.0,2,0.89,0,0,37.0
-24,-18.0,1030.0,1,1.79,0,0,26.0
-24,-13.0,1030.0,1,3.58,0,0,15.0
-25,-14.0,1030.0,2,3.13,0,0,9.0
-24,-14.0,1030.0,2,7.15,0,0,11.0
-25,-12.0,1030.0,2,12.96,0,0,11.0
-26,-14.0,1030.0,2,16.98,0,0,16.0
-25,-12.0,1031.0,2,21.0,0,0,13.0
-25,-11.0,1031.0,2,26.81,0,0,15.0
-24,-11.0,1030.0,2,35.75,0,0,21.0
-23,-11.0,1029.0,2,47.82,0,0,24.0
-22,-11.0,1029.0,2,63.02,0,0,22.0
-23,-11.0,1029.0,2,75.98,0,0,22.0
-22,-11.0,1029.0,2,88.05,0,0,22.0
-23,-11.0,1030.0,2,101.01,0,0,19.0
-24,-11.0,1030.0,2,109.06,0,0,23.0
-24,-11.0,1032.0,2,118.0,0,0,25.0
-23,-11.0,1032.0,2,126.05,0,0,25.0
-23,-12.0,1032.0,2,134.1,0,0,31.0
-24,-12.0,1033.0,2,142.15,0,0,25.0
-23,-12.0,1033.0,2,150.2,0,0,22.0
-23,-12.0,1034.0,2,160.03,0,0,22.0
-24,-12.0,1034.0,2,169.86,0,0,15.0
-24,-12.0,1033.0,2,178.8,0,0,16.0
-25,-12.0,1033.0,2,189.98,0,0,11.0
-24,-13.0,1033.0,2,198.03,0,0,11.0
-25,-12.0,1032.0,2,205.18,0,0,12.0
-25,-12.0,1033.0,2,215.01,0,0,11.0
-25,-12.0,1032.0,2,226.19,0,0,12.0
-25,-12.0,1032.0,2,235.13,0,0,27.0
-25,-12.0,1032.0,2,243.18,0,0,28.0
-23,-11.0,1033.0,2,252.12,0,0,34.0
-23,-10.0,1033.0,2,257.93,0,0,33.0
-22,-9.0,1033.0,2,263.74,0,0,36.0
-21,-8.0,1031.0,2,270.89,0,0,26.0
-21,-6.0,1030.0,2,278.94,0,0,49.0
-20,-5.0,1029.0,2,286.99,0,0,52.0
-22,-5.0,1028.0,2,294.14,0,0,47.0
-21,-5.0,1028.0,2,299.06,0,0,47.0
-19,-7.0,1028.0,3,1.79,0,0,39.0
-19,-8.0,1028.0,0,0.45,0,0,59.0
-20,-9.0,1028.0,0,1.34,0,0,76.0
-19,-10.0,1027.0,3,1.79,0,0,96.0
-19,-13.0,1027.0,0,0.89,0,0,95.0
-18,-12.0,1027.0,0,1.78,0,0,68.0
-18,-13.0,1027.0,1,0.89,0,0,65.0
-18,-14.0,1026.0,1,1.78,0,0,75.0
-20,-15.0,1025.0,1,2.67,0,0,257.0
-20,-15.0,1025.0,2,0.89,0,0,174.0
-20,-16.0,1025.0,2,1.78,0,0,164.0
-20,-16.0,1024.0,2,3.57,0,0,161.0
-21,-17.0,1024.0,2,6.7,0,0,137.0
-19,-14.0,1023.0,2,10.72,0,0,92.0
-21,-17.0,1023.0,2,13.85,0,0,64.0
-19,-15.0,1024.0,2,15.64,0,0,87.0
-19,-14.0,1024.0,2,18.77,0,0,87.0
-18,-10.0,1024.0,2,22.79,0,0,84.0
-17,-9.0,1023.0,2,24.58,0,0,95.0
-16,-6.0,1023.0,2,26.37,0,0,79.0
-17,-5.0,1022.0,2,28.16,0,0,75.0
-16,-5.0,1022.0,2,29.95,0,0,79.0
-15,-4.0,1022.0,2,33.08,0,0,86.0
-16,-4.0,1023.0,0,0.89,0,0,72.0
-15,-5.0,1025.0,3,1.79,0,0,89.0
-14,-3.0,1026.0,2,5.81,0,0,94.0
-16,-3.0,1027.0,2,11.62,0,0,69.0
-15,-4.0,1029.0,2,20.56,0,0,49.0
-16,-5.0,1031.0,2,24.58,0,0,33.0
-17,-6.0,1032.0,1,3.13,0,0,27.0
-18,-6.0,1033.0,1,8.05,0,0,20.0
-19,-7.0,1034.0,1,13.86,0,0,36.0
-17,-8.0,1035.0,2,5.81,0,0,37.0
-18,-10.0,1035.0,2,11.62,0,0,30.0
-19,-10.0,1036.0,2,14.75,0,0,18.0
-19,-9.0,1036.0,2,19.67,0,0,21.0
-19,-9.0,1036.0,1,7.15,0,0,13.0
-20,-9.0,1037.0,1,12.96,0,0,23.0
-19,-9.0,1037.0,1,18.77,0,0,26.0
-19,-8.0,1038.0,1,22.79,0,0,27.0
-19,-8.0,1039.0,1,28.6,0,0,30.0
-19,-7.0,1039.0,1,35.75,0,0,28.0
-18,-6.0,1039.0,1,41.56,0,0,26.0
-18,-5.0,1039.0,1,45.58,0,0,26.0
-17,-4.0,1038.0,2,1.79,0,0,31.0
-16,-3.0,1037.0,0,0.89,0,0,35.0
-17,-3.0,1037.0,0,1.78,0,0,36.0
-17,-2.0,1037.0,0,2.23,0,0,37.0
-15,-5.0,1036.0,3,0.89,0,0,64.0
-15,-6.0,1036.0,0,0.89,0,0,83.0
-15,-6.0,1037.0,0,1.78,0,0,91.0
-14,-6.0,1037.0,3,1.79,0,0,90.0
-14,-8.0,1036.0,3,3.58,0,0,102.0
-14,-10.0,1037.0,0,0.89,0,0,94.0
-15,-11.0,1036.0,0,1.78,0,0,87.0
-15,-11.0,1036.0,0,2.67,0,0,141.0
-16,-13.0,1036.0,1,0.89,0,0,211.0
-16,-12.0,1036.0,0,0.89,0,0,242.0
-16,-13.0,1035.0,1,0.89,0,0,271.0
-15,-12.0,1035.0,1,1.78,0,0,249.0
-14,-10.0,1034.0,2,1.79,0,0,200.0
-15,-10.0,1034.0,2,2.68,0,0,147.0
-15,-11.0,1034.0,2,4.47,0,0,114.0
-15,-11.0,1034.0,2,6.26,0,0,102.0
-14,-9.0,1034.0,2,8.05,0,0,108.0
-14,-9.0,1034.0,2,9.84,0,0,135.0
-13,-6.0,1034.0,0,0.89,0,0,120.0
-13,-5.0,1033.0,2,1.79,0,0,148.0
-12,-4.0,1031.0,0,0.89,0,0,127.0
-12,-3.0,1031.0,0,1.78,0,0,128.0
-12,-3.0,1030.0,0,2.67,0,0,140.0
-11,-3.0,1030.0,0,3.56,0,0,148.0
-11,-4.0,1031.0,1,0.89,0,0,150.0
-12,-7.0,1031.0,0,0.89,0,0,154.0
-12,-7.0,1032.0,0,1.78,0,0,197.0
-12,-8.0,1032.0,0,2.23,0,0,235.0
-12,-9.0,1032.0,0,3.12,0,0,261.0
-13,-11.0,1032.0,2,0.89,0,0,269.0
-14,-11.0,1032.0,2,2.68,0,0,266.0
-15,-12.0,1032.0,2,5.81,0,0,263.0
-14,-11.0,1032.0,0,0.45,0,0,241.0
-14,-11.0,1031.0,0,1.34,0,0,205.0
-14,-12.0,1031.0,2,1.79,0,0,160.0
-14,-12.0,1031.0,2,3.58,0,0,150.0
-14,-10.0,1030.0,2,6.71,0,0,148.0
-14,-11.0,1030.0,2,9.84,0,0,208.0
-15,-10.0,1030.0,2,11.63,0,0,209.0
-13,-10.0,1030.0,2,14.76,0,0,183.0
-13,-8.0,1030.0,2,17.89,0,0,161.0
-12,-6.0,1030.0,0,0.45,0,0,182.0
-11,-5.0,1030.0,0,1.34,0,0,230.0
-11,-4.0,1029.0,0,2.23,0,0,170.0
-11,-3.0,1028.0,0,3.12,0,0,172.0
-10,-1.0,1027.0,0,4.01,0,0,154.0
-11,-1.0,1027.0,0,4.46,0,0,166.0
-10,-1.0,1026.0,3,0.89,0,0,177.0
-10,-3.0,1026.0,3,1.78,0,0,191.0
-10,-5.0,1027.0,3,2.67,0,0,212.0
-10,-6.0,1027.0,1,0.89,0,0,250.0
-11,-7.0,1027.0,0,0.45,0,0,268.0
-10,-7.0,1027.0,0,0.9,0,0,317.0
-11,-9.0,1027.0,0,1.35,0,0,291.0
-12,-9.0,1027.0,1,0.89,0,0,313.0
-12,-10.0,1028.0,0,0.89,0,0,282.0
-13,-11.0,1028.0,2,3.13,0,0,282.0
-11,-9.0,1028.0,2,4.92,0,0,303.0
-13,-10.0,1028.0,2,6.71,0,0,349.0
-13,-11.0,1028.0,2,7.6,0,0,407.0
-13,-11.0,1027.0,1,1.79,0,0,361.0
-14,-11.0,1028.0,2,0.89,0,0,234.0
-14,-11.0,1028.0,2,4.02,0,0,149.0
-14,-11.0,1028.0,2,5.81,0,0,147.0
-11,-6.0,1028.0,2,9.83,0,0,184.0
-10,-5.0,1028.0,2,11.62,0,0,161.0
-9,-3.0,1028.0,2,13.41,0,0,137.0
-8,-1.0,1027.0,2,15.2,0,0,146.0
-9,0.0,1026.0,2,16.99,0,0,144.0
-9,1.0,1025.0,1,1.79,0,0,154.0
-9,1.0,1025.0,0,0.89,0,0,173.0
-8,1.0,1025.0,3,0.89,0,0,188.0
-7,-1.0,1025.0,3,2.68,0,0,203.0
-7,-2.0,1025.0,0,0.89,0,0,233.0
-7,-3.0,1025.0,3,0.89,0,0,408.0
-5,-2.0,1026.0,0,0.89,0,0,435.0
-5,-1.0,1026.0,2,1.79,0,0,403.0
-5,-1.0,1026.0,2,3.58,0,0,360.0
-6,-1.0,1026.0,0,0.89,0,0,402.0
-4,-1.0,1025.0,2,1.79,0,0,358.0
-5,-1.0,1024.0,2,4.92,0,0,383.0
-5,-1.0,1024.0,2,6.71,0,0,332.0
-5,-1.0,1023.0,2,8.5,0,0,274.0
-4,-1.0,1022.0,2,10.29,0,0,256.0
-4,-1.0,1021.0,2,11.18,0,0,302.0
-4,-1.0,1021.0,2,12.07,0,0,330.0
-4,-1.0,1021.0,2,13.86,0,0,367.0
-4,0.0,1021.0,0,0.89,0,0,297.0
-4,0.0,1021.0,2,1.79,0,0,331.0
-4,0.0,1021.0,0,0.89,0,0,323.0
-5,1.0,1021.0,2,1.79,0,0,339.0
-5,1.0,1020.0,0,0.89,0,0,301.0
-4,1.0,1019.0,0,1.34,0,0,310.0
-4,1.0,1018.0,1,0.89,0,0,305.0
-3,2.0,1018.0,0,0.45,0,0,313.0
-3,2.0,1018.0,0,1.34,0,0,336.0
-2,2.0,1018.0,1,0.89,0,0,357.0
-3,1.0,1018.0,0,0.89,0,0,485.0
-3,2.0,1020.0,2,1.79,0,0,426.0
-3,1.0,1020.0,2,4.92,0,0,403.0
-3,0.0,1021.0,2,6.71,0,0,374.0
-3,0.0,1021.0,2,8.5,0,0,333.0
-3,1.0,1020.0,2,11.63,0,0,343.0
-2,0.0,1021.0,2,14.76,0,0,364.0
-2,-1.0,1022.0,2,16.55,0,0,389.0
-4,-2.0,1022.0,2,19.68,0,0,368.0
-2,-1.0,1023.0,2,25.49,0,0,267.0
-3,1.0,1023.0,2,28.62,0,0,71.0
-3,0.0,1024.0,2,31.75,0,0,81.0
-5,2.0,1026.0,2,36.67,0,0,51.0
-9,1.0,1027.0,2,41.59,0,0,49.0
-10,0.0,1028.0,2,48.74,0,0,44.0
-10,0.0,1030.0,2,55.89,0,0,45.0
-11,1.0,1032.0,2,63.04,0,0,35.0
-13,0.0,1033.0,2,71.09,0,0,29.0
-13,0.0,1033.0,2,78.24,0,0,27.0
-13,-1.0,1033.0,1,8.05,0,0,29.0
-13,-1.0,1032.0,2,7.15,0,0,16.0
-15,-1.0,1032.0,1,5.81,0,0,23.0
-14,-1.0,1033.0,2,5.81,0,0,28.0
-15,-2.0,1033.0,2,12.96,0,0,22.0
-16,-3.0,1034.0,2,21.01,0,0,11.0
-17,-4.0,1035.0,2,28.16,0,0,25.0
-19,-3.0,1036.0,2,37.99,0,0,16.0
-18,-4.0,1037.0,2,46.93,0,0,20.0
-19,-4.0,1038.0,2,55.87,0,0,20.0
-19,-5.0,1038.0,2,65.7,0,0,18.0
-20,-6.0,1038.0,2,75.53,0,0,18.0
-20,-6.0,1038.0,2,85.36,0,0,17.0
-20,-7.0,1038.0,2,95.19,0,0,17.0
-22,-8.0,1038.0,2,103.24,0,0,17.0
-23,-8.0,1038.0,2,111.29,0,0,15.0
-24,-9.0,1038.0,2,118.44,0,0,19.0
-24,-9.0,1038.0,2,128.27,0,0,16.0
-25,-9.0,1038.0,2,138.1,0,0,18.0
-25,-8.0,1039.0,2,147.04,0,0,18.0
-25,-8.0,1039.0,2,155.98,0,0,18.0
-22,-7.0,1039.0,2,160.9,0,0,26.0
-22,-7.0,1038.0,1,3.13,0,0,26.0
-22,-5.0,1037.0,2,4.02,0,0,25.0
-21,-5.0,1035.0,1,3.13,0,0,24.0
-21,-4.0,1034.0,3,1.79,0,0,15.0
-20,-3.0,1034.0,1,1.79,0,0,17.0
-21,-2.0,1033.0,2,4.92,0,0,15.0
-20,-2.0,1033.0,2,10.73,0,0,21.0
-20,-2.0,1034.0,2,15.65,0,0,40.0
-19,-3.0,1034.0,2,21.46,0,0,51.0
-19,-3.0,1035.0,2,25.48,0,0,45.0
-17,-8.0,1035.0,1,0.89,0,0,61.0
-18,-9.0,1035.0,2,1.79,0,0,72.0
-18,-9.0,1035.0,2,3.58,0,0,38.0
-18,-6.0,1036.0,2,7.6,0,0,35.0
-20,-4.0,1037.0,2,17.43,0,0,29.0
-21,-5.0,1037.0,2,27.26,0,0,26.0
-21,-6.0,1037.0,2,35.31,0,0,18.0
-20,-7.0,1036.0,2,42.46,0,0,15.0
-20,-7.0,1035.0,2,48.27,0,0,15.0
-20,-7.0,1035.0,2,54.08,0,0,22.0
-20,-7.0,1036.0,2,59.0,0,0,21.0
-19,-7.0,1036.0,2,63.92,0,0,19.0
-20,-5.0,1036.0,2,67.94,0,0,22.0
-19,-4.0,1036.0,2,75.09,0,0,25.0
-19,-4.0,1036.0,2,84.03,0,0,22.0
-19,-3.0,1035.0,2,95.21,0,0,26.0
-18,-3.0,1034.0,2,105.04,0,0,32.0
-19,-2.0,1033.0,2,114.87,0,0,30.0
-18,-2.0,1032.0,2,124.7,0,0,32.0
-18,-2.0,1032.0,2,133.64,0,0,30.0
-18,-2.0,1032.0,2,139.45,0,0,32.0
-18,-3.0,1032.0,2,144.37,0,0,37.0
-17,-5.0,1033.0,2,149.29,0,0,49.0
-18,-4.0,1033.0,2,153.31,0,0,47.0
-17,-4.0,1032.0,2,159.12,0,0,39.0
-17,-4.0,1032.0,2,164.04,0,0,35.0
-17,-7.0,1032.0,2,168.06,0,0,48.0
-17,-4.0,1033.0,2,172.08,0,0,49.0
-17,-8.0,1033.0,0,0.89,0,0,24.0
-17,-5.0,1032.0,2,4.92,0,0,23.0
-18,-6.0,1032.0,2,8.05,0,0,20.0
-18,-5.0,1031.0,2,12.97,0,0,19.0
-18,-6.0,1031.0,2,16.1,0,0,16.0
-18,-7.0,1031.0,2,20.12,0,0,22.0
-18,-7.0,1031.0,2,24.14,0,0,24.0
-18,-6.0,1031.0,2,25.93,0,0,24.0
-18,-2.0,1031.0,2,30.85,0,0,41.0
-17,-1.0,1031.0,2,38.9,0,0,23.0
-17,0.0,1030.0,2,46.95,0,0,19.0
